Tên công ty,Ngành nghề,Năm kinh nghiệm,Vị trí làm việc,Số lượng nhân viên,Lương,Mô tả công việc,Yêu cầu công việc,Logo,Link ứng tuyển
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ĐÔNG VINH,Chuyên môn Kinh doanh thiết bị công nghiệp Direct Sales Telesales Online Sales B2B B2C B2G Giọng miền Nam Phát âm chuẩn Diễn đạt trôi chảy,1 năm,Hồ Chí Minh & 2 nơi khác,100-499 nhân viên,10 - 30 triệu,"Giới thiệu, quảng bá sản phầm và thương hiệu của công ty (Nguyên vật liệu lọc nước, Thiết bị vật tư, máy móc công nghiệp ( Bơm, Van,...), Lĩnh vực xử lý nước thải, nước cấp, hồ bơi và hệ thống RO (Tổng thầu xây dựng, Chủ đầu tư, Công ty tư vấn thiết kế, Nhà máy, khu công nghiệp, Các công trình dân dụng và công nghiệp có nhu cầu về xử lý nước) ; Hóa chất xử lý nước, xử lý lò hơi)
Tìm kiếm khách hàng mới, khách hàng tìm năng
Lên kế hoạch triển khai, mở rộng thị trường mới
Bán hàng và chăm sóc khách hàng cũ
Tư vấn giải pháp, sản phẩm/dịch vụ phù hợp với nhu cầu xử lý nước.
Đàm phán, chốt hợp đồng và theo dõi tiến độ triển khai
Báo cáo kinh doanh hằng tuần, đưa ra các hướng khắc phục, cải thiện tình hình bán hàng
Thực hiện các công việc khác có liên quan theo yêu cầu của cấp trên.","Nam/ Nữ các bạn trẻ nhiệt huyết yêu thích kinh doanh. Ưu tiên nữ chưa lập gia đình
Kinh nghiệm tối thiểu 1 năm
Giọng nói dễ nghe, ngoại hình ưa nhìn
Nhanh nhẹn, năng động, cẩn thận trong công việc, có tinh thần cầu tiến và ham học hỏi
Biết sử dụng vi tính văn phòng, có phương tiện đi lại, làm việc
Sẵn sàng đi công tác (nghiên cứu thị trường, tìm kiếm khách hàng,...)",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-thuong-mai-dich-vu-dong-vinh-61496e3d37d198bba4875299ba245531-662a0783c9f9e.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-marketing-thiet-bi-may-moc-vat-lieu-xu-ly-nuoc-thu-nhap-tu-10-trieu-30-trieu/1723338.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
CÔNG TY CỔ PHẦN ĐÀO TẠO QUẢN LÝ TRỰC TUYẾN OMT,Chuyên môn Sales Giáo dục/Khoá học khác B2C B2B Giáo dục / Đào tạo,1 năm,Hà Nội,25-99 nhân viên,30 - 60 triệu,"- Tiếp cận khách hàng và tư vấn khách hàng tiềm năng để giới thiệu về sản phẩm, dịch vụ của Công ty (dựa trên data có sẵn hoặc chủ động tìm kiếm thêm).
- Tham gia vào các dự án liên quan đến kinh doanh và phát triển sản phẩm mới.
- Hỗ trợ nhóm kinh doanh trong việc lập kế hoạch và chiến lược kinh doanh cho các sản phẩm mới
- Đối tượng khách hàng là nhà trường các cấp học. Sản phẩm tốt, hữu ích với phụ huynh, nhà trường nên được nhiều khách quan tâm và dễ chốt deal lớn
- Thực hiện các công việc khác theo chỉ đạo của cấp trên, v..v..","- Nam/nữ, trẻ, nhiệt tình, có trách nhiệm, kiên trì, bền bỉ, nhanh nhẹn, chủ động trong công việc
- Tốt nghiệp TC, CĐ, ĐH hoặc sinh viên năm cuối (chuyên ngành kinh doanh, MKT là 1 lợi thế)
- Có kỹ năng đàm phán, thuyết phục và giải quyết vấn đề nhanh chóng
- Có kĩ năng quản lý thị trường và quản lý thời gian để hoàn thành các nhiệm vụ công việc được giao",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/isYLRCGLa03VR75u20Zg9rSIgDf4MyZf_1739174830____3c2cf7c27098b7c9988ad762cf2b41fe.png,https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-mang-giao-duc-thu-nhap-upto-60tr-bhxh-khong-tru-thu-nhap-tai-ha-noi/1606427.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
N/A,Chuyên môn Sales Admin/Sales Support/Sales Associate B2C Có hỗ trợ Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.topcv.vn/brand/beegroupvn/tuyen-dung/nhan-vien-cong-no-j1680734.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
CÔNG TY TNHH TM LIÊN PHÁT KHOA VIỆT NAM,Chuyên môn Bán hàng kỹ thuật cơ khí Direct Sales B2B B2C Cơ khí / Tự động hóa,2 năm,"Hồ Chí Minh, Hà Nội",25-99 nhân viên,12 - 30 triệu,"Tư vấn, giới thiệu cho khách hàng các đặc tính công dụng và giá cả sản phẩm máy hàn của công ty (Ưu tiên có kinh nghiệm kinh doanh máy Hàn điện tử hoặc từng làm qua những công ty máy Hàn như : JASIC,OSHIMA,HỒNG KÝ ,RILAND ,v.v...thì càng tốt)
Tìm kiếm khách hàng tiềm năng, phát triển khách hàng mới.
Chăm sóc khách hàng, trao đổi thông tin, dịch, gửi báo giá và ký kết hợp đồng để đạt mục tiêu doanh số.
Quản lý và duy trì mối quan hệ tốt với các khách hàng và đối tác hiện tại.
Lập kế hoạch, tham vấn cùng Ban lãnh đạo công ty đường lối mở rộng phát triển kinh doanh trong dài hạn.","Có ít nhất 2 năm kinh nghiệm vị trí nhân viên kinh doanh
Biết giao tiếp tiếng Trung (để nói chuyện với Sếp)
Ưu tiên ứng viên Nam có kinh nghiệm kinh doanh các sản phẩm máy móc và ngũ kim (máy Hàn càng tốt).
Đi thị trường và có thể đi công tác xa.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-tm-lien-phat-khoa-viet-nam-5433f2bf0463ac9ed6db7bd2de8602cc-67638d363bb39.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-may-han-giao-tiep-tieng-trung-2-nam-kinh-nghiem-thu-nhap-12-30-trieu-hcm-ha-noi/1567306.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
CÔNG TY TNHH NABATI VIỆT NAM,Chuyên môn Sales Manager/Trưởng phòng kinh doanh Bán lẻ - Hàng tiêu dùng - FMCG,3 năm,Hồ Chí Minh,500-1000 nhân viên,Thoả thuận,"1. JOB PURPOSE
The Sales Capability Manager is responsible for building, executing, and optimizing capability development programs for the national sales force. The role plays a key part in improving sales effectiveness, strengthening the competency of sales personnel at all levels, and standardizing the sales process to support sustainable business growth.
2. KEY RESPONSIBILITIE
A. Sales Capability Development
Lead and manage training teams and be accountable for the performance and outcomes of all capability-related activities.
Develop and implement sales tools and best-practice programs to improve field execution and sales management effectiveness.
Ensure that the sales team adheres to company principles, sales policies, and distributor/agent management procedures.
Design and maintain a structured sales capability framework and learning roadmap tailored to each level of the sales organization (Sales Reps, Supervisors, ASM, RSM).
Continuously evaluate training content and methodology to ensure maximum effectiveness and alignment with business direction.
B. Training & Coaching
Organize and facilitate skill-building programs for the sales force, including both classroom training and field coaching.
Conduct post-training evaluations to measure effectiveness and follow up with improvement plans.
Join field visits with Sales Supervisors, ASMs, and RSMs to provide hands-on coaching on selling skills, leadership, problem-solving, and people development.
Actively identify skill gaps through field observation and propose actionable solutions to close those gaps.
Track, analyze, and report training effectiveness using appropriate KPIs and feedback loops.","Bachelor's Degree in Business Administration, Economics, or relevant majors.
Minimum 3 years of experience in a similar role within the FMCG sector, preferably with exposure to General Trade (GT) distribution.
Strong understanding of sales operations, distributor management, and field execution excellence.
Good physical health and willingness to travel frequently to provinces for field coaching and training.
Excellent presentation, negotiation, problem-solving, and time management skills.
Proven coaching and facilitation skills with the ability to train across multiple levels.
Certification in professional training/coaching (e.g. Train the Trainer, Coaching Fundamentals) is a plus.
Proficient in Microsoft Office and Learning Management Systems (LMS) is an advantage",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/7e257521c5a25f180744c32a8f7bb6c0-5e689f5166997.jpg,https://www.topcv.vn/viec-lam/sales-capability-manager/1711732.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ BẤT ĐỘNG SẢN TOÀN CẦU G-HOME,Chuyên môn Sales Bất động sản/Xây dựng khác Telesales B2B B2C Xây dựng Bất động sản Tài chính Có hỗ trợ Data,1 năm,Hà Nội,25-99 nhân viên,5 - 70 triệu,"Chủ động khai thác khách hàng từ nhiều kênh (online, offline) và tiếp cận khách hàng tiềm năng do công ty cung cấp.
Thực hiện các cuộc gọi, gặp gỡ trực tiếp khách hàng để tư vấn và giới thiệu sản phẩm bất động sản.
Phân tích nhu cầu và tư vấn cho khách hàng lựa chọn sản phẩm phù hợp.
Thực hiện các thủ tục pháp lý và hỗ trợ khách hàng trong quá trình giao dịch.
Chăm sóc khách hàng sau giao dịch, duy trì mối quan hệ lâu dài.
Báo cáo kết quả công việc định kỳ cho quản lý.","Tốt nghiệp CĐ/ĐH
Có laptop cá nhân
Độ tuổi từ 22t - 40t
Ưu tiên những bạn có kinh nghiệm trong lĩnh vực BĐS.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/681c8ac01eed81746700992.png,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-bds-co-luong-cung-tai-ha-noi/1720835.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
CÔNG TY TNHH HỖ TRỢ TƯ VẤN DỊCH VỤ E-HOME,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales Online Sales Bán hàng tại cửa hàng/showroom B2B B2C B2G Bán lẻ - Hàng tiêu dùng - FMCG Bất động sản Marketing / Quảng cáo Có hỗ trợ Data Phát âm chuẩn Giọng miền Nam Giọng miền Trung Giọng miền Bắc Diễn đạt trôi chảy,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,8 - 30 triệu,"- Đăng bài tìm kiếm khách hàng trên các nền tảng social dựa trên dự án công ty có sẵn.
- Giới thiệu tư vấn căn hộ phù hợp với nhu cầu của khách hàng từ rổ hàng sẵn có của công ty.
- Hỗ trợ Khách Hàng xem phòng trực tiếp tại các dự án.
- Hỗ trợ khách hàng hoàn thành hợp đồng thuê
- Tư vấn khách hàng online theo nhu cầu Khách Hàng.","- Có các thiết bị cơ bản như xe máy, laptop, smartphone
- Tinh thần nhiệt huyết tốt, chăm chỉ, kiên trì
- Không yêu cầu kinh nghiệm
- Học sinh, sinh viên
- Không Tuyển từ sinh năm 99 trở lên
- Được phụ cấp toàn bộ 100% chi phí marketing
- Đồng phục, thẻ đeo, tab chứa hồ sơ free 100%
- Các hoạt động đội nhóm trong tháng free 100%",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-ho-tro-tu-van-dich-vu-e-home-234eb27c2a6e1587a16047489656f7d7-66a35d6bb4f3b.jpg,https://www.topcv.vn/viec-lam/thuc-tap-sinh-cho-thue-can-ho-dich-vu-chung-cu-mini-thoi-gian-tu-do-parttime-hcm-luong-tu-4-12-trieu-uu-tien-sinh-vien/1417349.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT MINH KHANG,Chuyên môn Thiết bị y tế khác,Không yêu cầu,Hà Nội,100-499 nhân viên,Từ 10 triệu,"NGÀNH HÀNG: THIẾT BỊ PHÂN TÍCH Y TẾ & SINH HỌC (Leica Biosystems, Leica Microsystems, Beckman Coulter Life Sciences, Molecular Devices, Cytiva)
1. Tư vấn giải pháp & hỗ trợ bán hàng
Hiểu rõ và tư vấn các dòng thiết bị giải phẫu bệnh, kính hiển vi, máy ly tâm, phân tích tế bào... từ các thương hiệu hàng đầu.
Phân tích nhu cầu khách hàng (bệnh viện, trung tâm nghiên cứu, phòng thí nghiệm, trường đại học, các viện nghiên cứu,...) và đề xuất giải pháp phù hợp.
Thực hiện demo, trình bày tính năng và hỗ trợ kỹ thuật trong quá trình bán hàng.
2. Phát triển thị trường & xây dựng quan hệ
Mở rộng mạng lưới khách hàng tiềm năng và chăm sóc khách hàng hiện hữu.
Tham gia triển lãm, hội thảo chuyên ngành để quảng bá sản phẩm và thúc đẩy doanh số.
Theo dõi xu hướng thị trường, đề xuất chiến lược kinh doanh hiệu quả.
3. Hỗ trợ ứng dụng & dịch vụ sau bán hàng
Hướng dẫn sử dụng, đào tạo vận hành thiết bị cùng đội ngũ kỹ thuật.
Tư vấn quy trình, phương pháp phân tích để tối ưu hiệu quả sử dụng sản phẩm.
Ghi nhận phản hồi, hỗ trợ kỹ thuật, đảm bảo chất lượng dịch vụ và sự hài lòng của khách hàng.","- Trình độ: Đại học trở lên các ngành Sinh học, Y sinh, Công nghệ sinh học hoặc lĩnh vực liên quan.
- Ngoại ngữ: Tiếng Anh tốt (đọc hiểu tài liệu kỹ thuật, giao tiếp với hãng nước ngoài).
- Kinh nghiệm & kỹ năng:
Kiến thức vững về công nghệ thiết bị sinh học – y tế.
Có kinh nghiệm tư vấn kỹ thuật, bán hàng thiết bị là lợi thế.
Kỹ năng giao tiếp, thuyết trình, đàm phán tốt.
Tư duy chủ động, tinh thần học hỏi, sẵn sàng công tác xa.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/67d94206e88b01742291462.png,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-tu-van-thiet-bi-phan-tich-y-te-sinh-hoc/1718633.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
CÔNG TY CỔ PHẦN DKRA VEGA,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales Online Sales B2B B2C B2G Bất động sản Có hỗ trợ Data Diễn đạt trôi chảy,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,40 - 100 triệu,"Tham gia triển khai kế hoạch kinh doanh theo định hướng của công ty - Tổng đại lý phân phối độc quyền các dự án;
Tư vấn, chăm sóc và hỗ trợ khách hàng trong quá trình tìm hiểu, giao dịch sản phẩm bất động sản, như: (được đào tạo khi onboard & được quản lý/đồng nghiệp hỗ trợ)
Dự án The Emerald 68, CitiGrand, Picity Sky Park, Phố Thương Mại Đức Hoà Central, The Sholi, đất nền Phú Lợi,...
Các dự án đất nền và hệ thống hơn 5.000 căn hộ tại TP.HCM.
Được nhận data nóng từ đội ngũ marketing, truyền thông để thúc đẩy hiệu quả kinh doanh theo từng giai đoạn của dự án.
Có Quản lý và đồng đội luôn kề vai sát cánh – cùng tư vấn, chốt deal, đồng hành trong từng giao dịch
Báo cáo tiến độ và kết quả công việc định kỳ cho cấp quản lý.","Là sinh viên năm cuối (đang thực tập hoặc chờ bằng) hoặc đã tốt nghiệp Trung cấp, Cao đẳng, Đại học, có thể làm việc full-time.
Đam mê kinh doanh, có tinh thần cầu tiến và mong muốn thu nhập cao.
Có kỹ năng giao tiếp tốt, biết cách lắng nghe và xử lý tình huống linh hoạt.
Có điện thoại, xe máy và laptop để hỗ trợ công việc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dkra-viet-nam-dkra-vietnam-5f0e7bbd0fd4d.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-ban-hang-nhan-thuc-tap-sinh-sinh-vien-cho-bang-luong-cung-tu-6-5-15-trieu-hoa-hong-upto-4-2-khong-ap-kpi-ho-tro-data-marketing-dao-tao-bai-ban/1696095.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
CÔNG TY CỔ PHẦN TẬP ĐOÀN THIÊN KHÔI,Chuyên môn Sales bất động sản/Môi giới bất động sản B2C,Không yêu cầu,Hà Nội,1000+ nhân viên,Từ 36 triệu,"- Quản lý kho hàng có sẵn hơn 30.000 căn nhà, đầy đủ các phân khúc và đa dạng về loại hình.
- Tìm kiếm khách hàng, tư vấn, chào bán cho khách hàng về các sản phẩm BĐS phù hợp có sẵn trong kho hàng.
- Chi tiết trao đổi thêm khi phỏng vấn","- Yêu cầu: KHÔNG YÊU CẦU KINH NGHIỆM, TUỔI TÁC.
- Chăm chỉ, cầu tiến
- Có đam mê về Bất Động Sản.
- Có xe máy, smartphone",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/67fdb67d346c31744680573.png,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-tu-do-thoi-gian-thu-nhap-tu-36-trieu-khong-y-c-kinh-nghiem/1693394.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
Công Ty Cổ Phần Dịch Vụ Địa Ốc PQR,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales Telesales B2C Bảo hiểm Bất động sản Tài chính,Không yêu cầu,Hồ Chí Minh,100-499 nhân viên,Tới 100 triệu,"- Tiếp xúc và tư vấn khách hàng về các dự án, sản phẩm bất động sản mà công ty PQR đang phân phối.
- Cung cấp thông tin chi tiết về các sản phẩm BĐS như giá cả, vị trí, tiện ích, và các ưu đãi.
- Thực hiện các buổi tham quan thực tế cho khách hàng để họ có thể đánh giá sản phẩm.
- Tìm kiếm và duy trì mối quan hệ với khách hàng cũ, cũng như phát triển mối quan hệ với khách hàng tiềm năng.
- Hỗ trợ khách hàng trong suốt quá trình giao dịch, giải đáp các thắc mắc và hỗ trợ các thủ tục liên quan đến việc mua bán bất động sản.
- Báo cáo kết quả công việc và tình hình kinh doanh cho trưởng bộ phận hoặc quản lý trực tiếp.","- Ứng viên chưa có kinh nghiệm nhưng có năng lực giao tiếp, đàm phán tốt và đam mê với ngành bất động sản vẫn có thể được đào tạo và xem xét.
- Ứng viên tốt nghiệp trung cấp, cao đẳng hoặc đại học các ngành như Kinh tế, Quản trị kinh doanh, Marketing, Tài chính hoặc các ngành có liên quan.
- Sức khỏe tốt, kiên trì, ham học hỏi, cầu tiến và có mong muốn đột phá thu nhập",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dich-vu-dia-oc-pqr-5b7a3e5f1d13e_rs.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-tu-van-bat-dong-san-khong-yeu-cau-kinh-nghiem-luong-cung-5-6-trieu-hoa-hong-cao/1720056.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466279
